YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2019,2019,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,23.6,23.6,NA,NA,20.2,27.3,1353,NA,NA,NA,Female,NA,NA,"(64.84507995700051, -147.72205903599973)",PA,PA1,Q044,VALUE,02,Gender,Female,GEN,FEMALE
2012,2012,CO,Colorado,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,16.4,16.4,NA,NA,14.4,18.6,2208,NA,45 - 54,NA,NA,NA,NA,"(38.843840757, -106.133610921)",PA,PA1,Q047,VALUE,08,Age (years),45 - 54,AGEYR,AGEYR4554
2014,2014,SD,South Dakota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35,35,NA,NA,31.9,38.3,2292,NA,NA,College graduate,NA,NA,NA,"(44.353130053, -100.373530637)",OWS,OWS1,Q037,VALUE,46,Education,College graduate,EDU,EDUCOGRAD
2013,2013,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,26.1,26.1,NA,NA,22.8,29.7,1013,NA,NA,NA,NA,NA,Hispanic,"(42.827001032, -75.543970427)",PA,PA1,Q045,VALUE,36,Race/Ethnicity,Hispanic,RACE,RACEHIS
2015,2015,MS,Mississippi,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,30.4,30.4,NA,NA,24.6,36.8,607,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(32.745510099, -89.538030825)",PA,PA1,Q046,VALUE,28,Income,"$35,000 - $49,999",INC,INC3550
2013,2013,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34.6,34.6,NA,NA,27,43.1,238,NA,NA,NA,NA,NA,Hispanic,"(43.682630005, -114.363730042)",PA,PA1,Q047,VALUE,16,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,37.7,37.7,NA,NA,35.3,40.1,3186,Total,NA,NA,NA,NA,NA,"(64.845079957001, -147.722059036)",PA,PA1,Q045,VALUE,02,Total,Total,OVR,OVERALL
2014,2014,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.4,17.4,NA,NA,14.4,20.9,933,NA,25 - 34,NA,NA,NA,NA,"(34.86597028, -111.763811277)",PA,PA1,Q047,VALUE,04,Age (years),25 - 34,AGEYR,AGEYR2534
2015,2015,MO,Missouri,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,29.5,29.5,NA,NA,26,33.3,1201,NA,NA,NA,NA,Data not reported,NA,"(38.635790776, -92.566300053)",OWS,OWS1,Q037,VALUE,29,Income,Data not reported,INC,INCNR
2019,2019,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,57.2,57.2,NA,NA,54.4,60,2038,NA,NA,NA,NA,"$75,000 or greater",NA,"(40.79373015200048, -77.86070029399963)",PA,PA1,Q043,VALUE,42,Income,"$75,000 or greater",INC,INC75PLUS
2019,2019,MO,Missouri,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,8.9,8.9,NA,NA,5.8,13.4,455,NA,NA,Less than high school,NA,NA,NA,"(38.635790776000476, -92.56630005299968)",PA,PA1,Q044,VALUE,29,Education,Less than high school,EDU,EDUHS
2014,2014,CT,Connecticut,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,34.8,34.8,NA,NA,19.7,53.9,72,NA,NA,NA,NA,NA,Other,"(41.56266102, -72.649840952)",PA,PA1,Q047,VALUE,09,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,DC,District of Columbia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,35.7,35.7,NA,NA,31.6,39.9,1042,NA,55 - 64,NA,NA,NA,NA,"(38.890371385, -77.031961127)",OWS,OWS1,Q037,VALUE,11,Age (years),55 - 64,AGEYR,AGEYR5564
2021,2021,IN,Indiana,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,25.2,25.2,NA,NA,21.2,29.6,490,NA,18 - 24,NA,NA,NA,NA,"(39.766910452000445, -86.14996019399968)",OWS,OWS1,Q037,VALUE,18,Age (years),18 - 24,AGEYR,AGEYR1824
2019,2019,MN,Minnesota,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,38,38,NA,NA,35.6,40.5,2043,NA,35 - 44,NA,NA,NA,NA,"(46.35564873600049, -94.79420050299967)",FV,FV1,Q018,VALUE,27,Age (years),35 - 44,AGEYR,AGEYR3544
2015,2015,PA,Pennsylvania,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,40.8,40.8,NA,NA,36,45.7,578,NA,25 - 34,NA,NA,NA,NA,"(40.793730152, -77.860700294)",PA,PA1,Q046,VALUE,42,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.682630005, -114.363730042)",PA,PA1,Q044,VALUE,16,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2019,2019,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,46.7,46.7,NA,NA,41.7,51.9,578,NA,NA,NA,NA,NA,Non-Hispanic Black,"(40.48501028300046, -88.99771017799969)",PA,PA1,Q043,VALUE,17,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,IL,Illinois,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming fruit less than one time daily,NA,Value,34.7,34.7,NA,NA,28.8,41.1,329,NA,NA,Less than high school,NA,NA,NA,"(40.485010283, -88.997710178)",FV,FV1,Q018,VALUE,17,Education,Less than high school,EDU,EDUHS
2019,2019,DE,Delaware,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,25.8,25.8,NA,NA,20.5,31.9,395,NA,NA,NA,NA,NA,Non-Hispanic Black,"(39.008830667000495, -75.57774116799965)",FV,FV1,Q019,VALUE,10,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2019,2019,VT,Vermont,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Non-Hispanic Black,"(43.62538123900049, -72.51764079099962)",OWS,OWS1,Q037,VALUE,50,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2017,2017,NH,New Hampshire,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,28.3,28.3,NA,NA,24.8,32.2,1336,NA,NA,Some college or technical school,NA,NA,NA,"(43.655950113, -71.50036092)",PA,PA1,Q046,VALUE,33,Education,Some college or technical school,EDU,EDUCOTEC
2015,2015,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Asian,"(35.68094058, -85.774490914)",OWS,OWS1,Q037,VALUE,47,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,TN,Tennessee,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,47.7,47.7,NA,NA,44.3,51.2,1427,NA,NA,College graduate,NA,NA,NA,"(35.68094058, -85.774490914)",PA,PA1,Q043,VALUE,47,Education,College graduate,EDU,EDUCOGRAD
2011,2011,NE,Nebraska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,36.1,36.1,NA,NA,26.9,46.5,267,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(41.641040988001, -99.365720623)",OWS,OWS1,Q037,VALUE,31,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2015,2015,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,26.9,26.9,NA,NA,24.6,29.3,1977,NA,NA,College graduate,NA,NA,NA,"(40.485010283, -88.997710178)",PA,PA1,Q044,VALUE,17,Education,College graduate,EDU,EDUCOGRAD
2017,2017,MI,Michigan,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,28.9,28.9,NA,NA,25.7,32.3,1019,NA,25 - 34,NA,NA,NA,NA,"(44.661319543001, -84.71439027)",OWS,OWS1,Q036,VALUE,26,Age (years),25 - 34,AGEYR,AGEYR2534
2017,2017,KS,Kansas,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,34.7,34.7,NA,NA,28.9,41,343,NA,NA,NA,NA,NA,2 or more races,"(38.3477403, -98.200781227)",OWS,OWS1,Q037,VALUE,20,Race/Ethnicity,2 or more races,RACE,RACE2PLUS
2014,2014,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29.7,29.7,NA,NA,28.5,31,7301,NA,NA,NA,Male,NA,NA,"(46.355648736, -94.794200503)",OWS,OWS1,Q036,VALUE,27,Gender,Male,GEN,MALE
2013,2013,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,22.6,22.6,NA,NA,20.1,25.3,1269,NA,55 - 64,NA,NA,NA,NA,"(44.567449424, -120.155031326)",PA,PA1,Q044,VALUE,41,Age (years),55 - 64,AGEYR,AGEYR5564
2015,2015,FL,Florida,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,22.2,22.2,NA,NA,18.9,25.9,1298,NA,NA,NA,NA,Data not reported,NA,"(28.932040377, -81.928960539)",OWS,OWS1,Q036,VALUE,12,Income,Data not reported,INC,INCNR
2017,2017,RI,Rhode Island,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,53.7,53.7,NA,NA,50.6,56.8,2111,NA,NA,NA,Male,NA,NA,"(41.708280193, -71.522470314)",PA,PA1,Q043,VALUE,44,Gender,Male,GEN,MALE
2015,2015,AK,Alaska,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,44.1,44.1,NA,NA,34.7,53.9,254,NA,NA,NA,NA,"Less than $15,000",NA,"(64.845079957001, -147.722059036)",PA,PA1,Q043,VALUE,02,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,43.4,43.4,NA,NA,28.1,60,60,NA,NA,NA,NA,NA,Asian,"(34.86597028, -111.763811277)",PA,PA1,Q046,VALUE,04,Race/Ethnicity,Asian,RACE,RACEASN
2013,2013,NM,New Mexico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,42.7,42.7,NA,NA,40.1,45.4,2686,NA,NA,College graduate,NA,NA,NA,"(34.520880952, -106.240580985)",PA,PA1,Q045,VALUE,35,Education,College graduate,EDU,EDUCOGRAD
2017,2017,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,9.7,9.7,NA,NA,8.7,10.9,4373,NA,NA,NA,NA,NA,Hispanic,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Race/Ethnicity,Hispanic,RACE,RACEHIS
2018,2018,ID,Idaho,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",OWS,OWS1,Q036,VALUE,16,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,IL,Illinois,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,35.9,35.9,NA,NA,32.6,39.4,1512,NA,NA,NA,NA,"$75,000 or greater",NA,"(40.485010283, -88.997710178)",PA,PA1,Q046,VALUE,17,Income,"$75,000 or greater",INC,INC75PLUS
2022,2022,GU,Guam,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,37,37,NA,NA,29.6,45,585,NA,NA,NA,NA,Data not reported,NA,"(13.444304, 144.793731)",OWS,OWS1,Q037,VALUE,66,Income,Data not reported,INC,INCNR
2019,2019,GA,Georgia,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,32.6,32.6,NA,NA,15.6,55.8,51,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",PA,PA1,Q047,VALUE,13,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2013,2013,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,46.5,46.5,NA,NA,42.8,50.3,1221,NA,45 - 54,NA,NA,NA,NA,"(47.475319779, -100.118421049)",PA,PA1,Q043,VALUE,38,Age (years),45 - 54,AGEYR,AGEYR4554
2014,2014,CA,California,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,25.4,25.4,NA,NA,23.7,27.2,4093,NA,NA,NA,Female,NA,NA,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,06,Gender,Female,GEN,FEMALE
2015,2015,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,53.5,53.5,NA,NA,48.8,58.2,763,NA,45 - 54,NA,NA,NA,NA,"(43.682630005, -114.363730042)",PA,PA1,Q043,VALUE,16,Age (years),45 - 54,AGEYR,AGEYR4554
2015,2015,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,31.8,31.8,NA,NA,24.9,39.6,216,NA,NA,Less than high school,NA,NA,NA,"(44.567449424, -120.155031326)",PA,PA1,Q045,VALUE,41,Education,Less than high school,EDU,EDUHS
2017,2017,WY,Wyoming,Behavioral Risk Factor Surveillance System,Fruits and Vegetables,Fruits and Vegetables - Behavior,Percent of adults who report consuming vegetables less than one time daily,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,Hawaiian/Pacific Islander,"(43.235541343, -108.109830353)",FV,FV1,Q019,VALUE,56,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2021,2021,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,33.2,33.2,NA,NA,29.8,36.8,1248,NA,65 or older,NA,NA,NA,NA,"(39.008830667000495, -75.57774116799965)",PA,PA1,Q047,VALUE,10,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,NY,New York,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,27.8,27.8,NA,NA,24.1,31.7,1019,NA,NA,NA,NA,Data not reported,NA,"(42.827001032, -75.543970427)",PA,PA1,Q047,VALUE,36,Income,Data not reported,INC,INCNR
2016,2016,DE,Delaware,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,23.4,23.4,NA,NA,20.3,26.9,989,NA,NA,Some college or technical school,NA,NA,NA,"(39.008830667, -75.577741168)",PA,PA1,Q047,VALUE,10,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,ND,North Dakota,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,22.4,22.4,NA,NA,18.7,26.6,648,NA,25 - 34,NA,NA,NA,NA,"(47.475319779, -100.118421049)",PA,PA1,Q047,VALUE,38,Age (years),25 - 34,AGEYR,AGEYR2534
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,NA,Value,NA,NA,~,Data not available because sample size is insufficient.,NA,NA,NA,NA,NA,NA,NA,NA,American Indian/Alaska Native,"(18.220833, -66.590149)",PA,PA1,Q044,VALUE,72,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2018,2018,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20.2,20.2,NA,NA,16.6,24.3,1133,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(34.865970280000454, -111.76381127699972)",PA,PA1,Q047,VALUE,04,Income,"$50,000 - $74,999",INC,INC5075
2015,2015,AZ,Arizona,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),NA,Value,53.2,53.2,NA,NA,49,57.4,1316,NA,NA,NA,NA,Data not reported,NA,"(34.86597028, -111.763811277)",PA,PA1,Q043,VALUE,04,Income,Data not reported,INC,INCNR
2012,2012,TN,Tennessee,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,28.3,28.3,NA,NA,24.1,33,831,NA,NA,NA,NA,"Less than $15,000",NA,"(35.68094058, -85.774490914)",OWS,OWS1,Q037,VALUE,47,Income,"Less than $15,000",INC,INCLESS15
2017,2017,MN,Minnesota,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,29,29,NA,NA,26.6,31.6,1983,NA,NA,NA,NA,"$35,000 - $49,999",NA,"(46.355648736, -94.794200503)",OWS,OWS1,Q036,VALUE,27,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,35.6,35.6,NA,NA,32.5,38.7,1772,NA,NA,College graduate,NA,NA,NA,"(43.682630005, -114.363730042)",PA,PA1,Q046,VALUE,16,Education,College graduate,EDU,EDUCOGRAD
2017,2017,ID,Idaho,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,31.4,31.4,NA,NA,25,38.6,386,NA,NA,NA,NA,Data not reported,NA,"(43.682630005, -114.363730042)",PA,PA1,Q046,VALUE,16,Income,Data not reported,INC,INCNR
2013,2013,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,20.6,20.6,NA,NA,18.3,23.2,1851,NA,NA,NA,NA,"$75,000 or greater",NA,"(42.469400913, -93.816490556)",PA,PA1,Q047,VALUE,19,Income,"$75,000 or greater",INC,INC75PLUS
2022,2022,ME,Maine,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,28.9,28.9,NA,NA,20.2,39.6,169,NA,NA,NA,NA,NA,Hispanic,"(45.254228894000505, -68.98503133599962)",OWS,OWS1,Q037,VALUE,23,Race/Ethnicity,Hispanic,RACE,RACEHIS
2012,2012,KY,Kentucky,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.5,34.5,NA,NA,31.3,37.9,1937,NA,NA,NA,NA,"$15,000 - $24,999",NA,"(37.645970271, -84.774971048)",OWS,OWS1,Q036,VALUE,21,Income,"$15,000 - $24,999",INC,INC1525
2017,2017,IA,Iowa,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,30.7,30.7,NA,NA,28.9,32.5,3313,NA,NA,NA,Male,NA,NA,"(42.469400913, -93.816490556)",PA,PA1,Q046,VALUE,19,Gender,Male,GEN,MALE
2015,2015,UT,Utah,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,33.6,33.6,NA,NA,31.4,35.9,2870,NA,NA,High school graduate,NA,NA,NA,"(39.360700171, -111.587130635)",PA,PA1,Q046,VALUE,49,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,21.3,21.3,NA,NA,18.4,24.4,1634,NA,NA,NA,NA,Data not reported,NA,"(40.130570048, -74.273691288)",OWS,OWS1,Q036,VALUE,34,Income,Data not reported,INC,INCNR
2015,2015,OR,Oregon,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,19.5,19.5,NA,NA,17.2,22,1475,NA,NA,Some college or technical school,NA,NA,NA,"(44.567449424, -120.155031326)",PA,PA1,Q047,VALUE,41,Education,Some college or technical school,EDU,EDUCOTEC
2017,2017,VA,Virginia,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,NA,Value,33.3,33.3,NA,NA,28.2,38.8,576,NA,NA,Less than high school,NA,NA,NA,"(37.542680674, -78.457890463)",OWS,OWS1,Q037,VALUE,51,Education,Less than high school,EDU,EDUHS
2016,2016,OH,Ohio,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,NA,Value,34.2,34.2,NA,NA,30.9,37.7,1602,NA,NA,NA,NA,"$50,000 - $74,999",NA,"(40.060210141, -82.404260056)",OWS,OWS1,Q036,VALUE,39,Income,"$50,000 - $74,999",INC,INC5075
2019,2019,ME,Maine,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,NA,Value,31,31,NA,NA,28.3,33.9,2900,NA,NA,Some college or technical school,NA,NA,NA,"(45.254228894000505, -68.98503133599962)",PA,PA1,Q046,VALUE,23,Education,Some college or technical school,EDU,EDUCOTEC
2016,2016,OK,Oklahoma,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,33.5,33.5,NA,NA,27.5,40.1,372,NA,NA,NA,NA,NA,Non-Hispanic Black,"(35.472031356, -97.521070214)",PA,PA1,Q047,VALUE,40,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2022,2022,WY,Wyoming,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,NA,Value,17.9,17.9,NA,NA,14.3,22.2,479,NA,35 - 44,NA,NA,NA,NA,"(43.23554134300048, -108.10983035299967)",PA,PA1,Q047,VALUE,56,Age (years),35 - 44,AGEYR,AGEYR3544
